Species,Trait
Cyperus_fuligineus,C4
Cyperus_fuscus,C3
Cyperus_gardneri,C3
Cyperus_giganteus,C4
Cyperus_gracillimus,C4
Cyperus_grayi,C4
Cyperus_grayoides,C4
Cyperus_haspan,C3
Cyperus_hemidrummondii,C4
Cyperus_hemioccidentalis,C4
Cyperus_hortensis,C4
Cyperus_hyalinus,C4
Cyperus_hystricinus,C4
Cyperus_hystricoides,C4
Cyperus_imbricatus,C4
Cyperus_impolitus,C4
Cyperus_impubes_fallax,C4
Cyperus_incomtus,C3
Cyperus_intactus,C4
Cyperus_intricatus,C3
Cyperus_iria,C4
Cyperus_isolepis,C4
Cyperus_javanicus,C4
Cyperus_juncelliformis,C4
Cyperus_kernii,C4
Cyperus_kerstenii,C4
Cyperus_kyllingiella,C3
Cyperus_laevigatus,C4
Cyperus_lancastriensis,C4
Cyperus_lanceolatus,C4
Cyperus_latifolius,C4
Cyperus_lecontei,C3
Cyperus_leptocarpus,C4
Cyperus_leptocladus,C3
Cyperus_leucaspis,C4
Cyperus_ligularis,C4
Cyperus_lipocomosus,C4
Cyperus_lipofiliformis,C4
Cyperus_lipomexicanus,C4
Cyperus_liporobinsonii,C4
Cyperus_longistolon,C4
Cyperus_longus,C4
Cyperus_lupulinus,C4
Cyperus_luzulae,C3
Cyperus_macranthus,C4
Cyperus_macrostachyos,C4
Cyperus_manimae,C4
Cyperus_marginatus,C3
Cyperus_meeboldii,C4
Cyperus_megapotamicus,C4
Cyperus_melanacme,C4
Cyperus_melas,C4
Cyperus_metzii,C4
Cyperus_meyenianus,C4
Cyperus_microiria,C4
Cyperus_micromelas,C4
Cyperus_mindorensis,C4
Cyperus_molliglumis,C3
Cyperus_mundii,C4
Cyperus_neobarteri,C4
Cyperus_neotropicalis,C4
Cyperus_niger,C4
Cyperus_nigricans,C4
Cyperus_nipponicus,C4
Cyperus_nuerensis,C4
Cyperus_ochraceus,C3
Cyperus_odoratus,C4
Cyperus_orthostachyus,C4
Cyperus_ovatus,C4
Cyperus_oxylepis,C4
Cyperus_pacificus,C4
Cyperus_papyrus,C4
Cyperus_pauper,C4
Cyperus_pectinatus,C3
Cyperus_pedunculatus,C4
Cyperus_pelophilus,C4
Cyperus_persquarrosus,C4
Cyperus_phaeolepis,C3
Cyperus_pilosus,C4
Cyperus_planifolius,C4
Cyperus_plantaginifolius,C3
Cyperus_plateilema,C4
Cyperus_platystylis,C3
Cyperus_plukenetii,C4
Cyperus_polystachyos,C4
Cyperus_prieurianus,C4
Cyperus_prolifer,C3
Cyperus_prolixus,C4
Cyperus_proteus,C4
Cyperus_pseudokyllingioides,C3
Cyperus_pseudovegetus,C3
Cyperus_pseudovestitus,C4
Cyperus_pulchellus,C3
Cyperus_pumilus,C4
Cyperus_purpureoluteus,C4
Cyperus_purpureoviridis,C3
Cyperus_pustulatus,C4
Cyperus_reductus,C4
Cyperus_reduncus,C3
Cyperus_reflexus,C3
Cyperus_refractus,C4
Cyperus_regiomontanus,C4
Cyperus_renschii,C3
Cyperus_retrorsus,C4
Cyperus_rhizomatosus,C4
Cyperus_richardii,C4
Cyperus_rigens,C4
Cyperus_rigidifolius,C4
Cyperus_rotundus,C4
Cyperus_rupestris,C4
Cyperus_salzmannianus,C4
Cyperus_sanguinolentus,C4
Cyperus_schomburgkianus,C3
Cyperus_sellowianus,C4
Cyperus_serotinus,C4
Cyperus_seslerioides,C3
Cyperus_sesquiflorus,C4
Cyperus_smithianus,C4
Cyperus_sphacelatus,C4
Cyperus_squarrosus,C4
Cyperus_steudneri,C3
Cyperus_stolonifer,C4
Cyperus_strigosus,C4
Cyperus_submicrolepis,C3
Cyperus_subparadoxus,C4
Cyperus_subsquarrosus,C4
Cyperus_surinamensis,C3
Cyperus_tenuispica,C3
Cyperus_tetragonus,C4
Cyperus_thyrsiflorus,C4
Cyperus_ustulatus,C4
Cyperus_virens,C3
Cyperus_waterlotii,C4
Cyperus_xantholepis,C4
Didymiandrum_stellatum,C3
Diplacrum_africanum,C3
Diplacrum_caricinum,C3
Diplasia_karatifolia,C3
Dulichium_arundinaceum,C3
Eleocharis_acicularis,C3
Eleocharis_acuta,C3
Eleocharis_acutangula,C3
Eleocharis_atropurpurea,C3
Eleocharis_attenuata,C3
Eleocharis_baldwinii,C4
Eleocharis_brittonii,C3
Eleocharis_caespitosissima,C4
Eleocharis_compressa,C3
Eleocharis_confervoides,C3
Eleocharis_congesta,C3
Eleocharis_debilis,C3
Eleocharis_dietrichiana,C3
Eleocharis_dulcis,C3
Eleocharis_elliptica,C3
Eleocharis_engelmannii,C3
Eleocharis_equisetoides,C3
Eleocharis_erythropoda,C3
Eleocharis_fallax,C3
Eleocharis_flavescens,C3
Eleocharis_geniculata,C3
Eleocharis_gracilis,C3
Eleocharis_intermedia,C3
Eleocharis_interstincta,C3
Eleocharis_kamtschatica,C3
Eleocharis_kuroguwai,C3
Eleocharis_lanceolata,C3
Eleocharis_limosa,C3
Eleocharis_macrostachya,C3
Eleocharis_mamillata,C3
Eleocharis_microcarpa,C3
Eleocharis_minuta,C3
Eleocharis_montevidensis,C3
Eleocharis_multicaulis,C3
Eleocharis_nitida,C3
Eleocharis_obtusa,C3
Eleocharis_ovata,C3
Eleocharis_pallens,C3
Eleocharis_palustris,C3
Eleocharis_parishii,C3
Eleocharis_parvula,C3
Eleocharis_quadrangulata,C3
Eleocharis_quinqueflora,C3
Eleocharis_retroflexa,C4
Eleocharis_robbinsii,C3
Eleocharis_rostellata,C3
Eleocharis_setifolia,C3
Eleocharis_spiralis,C3
Eleocharis_tenuis,C3
Eleocharis_tetraquetra,C3
Eleocharis_torticulmis,C3
Eleocharis_trilateralis,C3
Eleocharis_tuberculosa,C3
Eleocharis_uniglumis,C3
Eleocharis_valleculosa,C3
Eleocharis_vivipara,C4
Eleocharis_wichurae,C3
Eleocharis_wolfii,C3
Eriophorum_angustifolium,C3
Eriophorum_brachyantherum,C3
Eriophorum_callitrix,C3
Eriophorum_chamissonis,C3
Eriophorum_vaginatum,C3
Eriophorum_virginicum,C3
Erioscirpus_comosus,C3
Evandra_aristata,C3
Ficinia_distans,C3
Ficinia_gracilis,C3
Ficinia_gydomontana,C3
Ficinia_indica,C3
Ficinia_laciniata,C3
Ficinia_nodosa,C3
Ficinia_paradoxa,C3
Ficinia_polystachya,C3
Ficinia_radiata,C3
Ficinia_ramossisima,C3
Ficinia_repens,C3
Ficinia_spiralis,C3
Ficinia_trichodes,C3
Ficinia_tristachya,C3
Fimbristylis_acuminata,C4
Fimbristylis_aestivalis,C4
Fimbristylis_autumnalis,C4
Fimbristylis_bisumbellata,C4
Fimbristylis_caroliniana,C4
Fimbristylis_complanata,C4
Fimbristylis_cymosa,C4
Fimbristylis_dichotoma,C4
Fimbristylis_diphylloides,C4
Fimbristylis_ferruginea,C4
Fimbristylis_littoralis,C4
Fimbristylis_miliacea,C4
Fimbristylis_ovata,C4
Fimbristylis_polytrichoides,C4
Fimbristylis_puberula,C4
Fimbristylis_quinquangularis,C4
Fimbristylis_schoenoides,C4
Fimbristylis_sieboldii,C4
Fimbristylis_spadicea,C4
Fimbristylis_squarrosa,C4
Fimbristylis_tetragona,C4
Fimbristylis_thermalis,C4
Fimbristylis_tristachya,C4
Fimbristylis_variegata,C3
Fimbristylis_velata,C4
Fuirena_abnormalis,C3
Fuirena_breviseta,C3
Fuirena_ciliaris,C3
